time_s,signal,time_min,time_hour,smoothed_signal,baseline,detrended_signal
430.723,-0.419781,7.178716666666667,0.11964527777777778,-0.419755,-0.419666,-8.900000000000574e-05
430.868,-0.419714,7.181133333333333,0.11968555555555556,-0.419741,-0.419666,-7.499999999999174e-05
431.012,-0.419784,7.183533333333333,0.11972555555555556,-0.419755,-0.419666,-8.900000000000574e-05
431.154,-0.41981,7.1859,0.119765,-0.419781,-0.419666,-0.00011500000000003174
431.296,-0.419699,7.188266666666666,0.11980444444444444,-0.419755,-0.419666,-8.900000000000574e-05
431.438,-0.419712,7.190633333333333,0.11984388888888889,-0.419741,-0.419666,-7.499999999999174e-05
431.576,-0.419786,7.192933333333333,0.11988222222222222,-0.419755,-0.419666,-8.900000000000574e-05
431.717,-0.419804,7.195283333333333,0.11992138888888888,-0.419781,-0.419666,-0.00011500000000003174
431.861,-0.419735,7.197683333333333,0.11996138888888888,-0.419755,-0.419666,-8.900000000000574e-05
432.001,-0.419755,7.2000166666666665,0.12000027777777778,-0.419755,-0.419666,-8.900000000000574e-05
432.142,-0.419807,7.202366666666666,0.12003944444444445,-0.419781,-0.419666,-0.00011500000000003174
432.284,-0.419741,7.204733333333333,0.12007888888888889,-0.419778,-0.419666,-0.00011200000000000099
432.426,-0.41974,7.2071,0.12011833333333333,-0.419755,-0.419666,-8.900000000000574e-05
432.568,-0.41981,7.209466666666667,0.12015777777777778,-0.419778,-0.419666,-0.00011200000000000099
432.699,-0.419816,7.211650000000001,0.12019416666666667,-0.419778,-0.419666,-0.00011200000000000099
432.829,-0.419727,7.213816666666667,0.12023027777777778,-0.419755,-0.419666,-8.900000000000574e-05
432.958,-0.419736,7.2159666666666675,0.12026611111111112,-0.419755,-0.419666,-8.900000000000574e-05
433.098,-0.419821,7.2183,0.12030500000000001,-0.419778,-0.419666,-0.00011200000000000099
433.229,-0.419812,7.220483333333333,0.12034138888888889,-0.419778,-0.419666,-0.00011200000000000099
433.364,-0.419742,7.222733333333333,0.12037888888888888,-0.419755,-0.419666,-8.900000000000574e-05
433.493,-0.419747,7.2248833333333335,0.12041472222222221,-0.419755,-0.419666,-8.900000000000574e-05
433.624,-0.419809,7.227066666666667,0.12045111111111112,-0.419778,-0.419666,-0.00011200000000000099
433.754,-0.419778,7.229233333333334,0.12048722222222223,-0.419778,-0.419666,-0.00011200000000000099
433.897,-0.419712,7.231616666666667,0.12052694444444444,-0.419778,-0.419666,-0.00011200000000000099
434.035,-0.419796,7.233916666666667,0.12056527777777779,-0.419778,-0.419666,-0.00011200000000000099
434.166,-0.419782,7.2360999999999995,0.12060166666666666,-0.419778,-0.419666,-0.00011200000000000099
434.3,-0.419682,7.238333333333333,0.12063888888888889,-0.419766,-0.419666,-9.999999999998899e-05
434.432,-0.41968,7.2405333333333335,0.12067555555555556,-0.419766,-0.419666,-9.999999999998899e-05
434.564,-0.419789,7.242733333333334,0.12071222222222223,-0.419778,-0.419666,-0.00011200000000000099
434.695,-0.419795,7.244916666666667,0.12074861111111111,-0.419778,-0.419666,-0.00011200000000000099
434.827,-0.419742,7.247116666666667,0.12078527777777778,-0.419766,-0.419666,-9.999999999998899e-05
434.958,-0.419741,7.249300000000001,0.12082166666666667,-0.419766,-0.419666,-9.999999999998899e-05
435.091,-0.419816,7.251516666666666,0.12085861111111111,-0.419778,-0.419666,-0.00011200000000000099
435.225,-0.419818,7.25375,0.12089583333333334,-0.419778,-0.419666,-0.00011200000000000099
435.354,-0.419728,7.2559,0.12093166666666666,-0.419766,-0.419666,-9.999999999998899e-05
435.49,-0.419733,7.258166666666667,0.12096944444444445,-0.419778,-0.419666,-0.00011200000000000099
435.628,-0.419792,7.260466666666667,0.12100777777777777,-0.419778,-0.419666,-0.00011200000000000099
435.761,-0.419766,7.262683333333333,0.12104472222222223,-0.419766,-0.419666,-9.999999999998899e-05
435.906,-0.419745,7.2651,0.121085,-0.419766,-0.419666,-9.999999999998899e-05
436.045,-0.419814,7.267416666666667,0.12112361111111111,-0.419778,-0.419666,-0.00011200000000000099
436.177,-0.419812,7.269616666666667,0.12116027777777778,-0.419778,-0.419666,-0.00011200000000000099
436.318,-0.419727,7.271966666666667,0.12119944444444444,-0.419766,-0.419666,-9.999999999998899e-05
436.465,-0.419735,7.274416666666666,0.12124027777777777,-0.419777,-0.419666,-0.00011100000000002774
436.603,-0.419801,7.276716666666667,0.12127861111111111,-0.419778,-0.419666,-0.00011200000000000099
436.743,-0.419778,7.27905,0.1213175,-0.419777,-0.419666,-0.00011100000000002774
436.878,-0.41974,7.2813,0.12135499999999999,-0.419766,-0.419666,-9.999999999998899e-05
437.018,-0.419783,7.2836333333333325,0.12139388888888888,-0.419777,-0.419666,-0.00011100000000002774
437.167,-0.419792,7.286116666666667,0.12143527777777777,-0.419778,-0.419666,-0.00011200000000000099
437.308,-0.419719,7.288466666666666,0.12147444444444444,-0.419777,-0.419666,-0.00011100000000002774
437.45,-0.419706,7.2908333333333335,0.12151388888888888,-0.419777,-0.419666,-0.00011100000000002774
437.592,-0.419791,7.2932,0.12155333333333333,-0.419778,-0.419666,-0.00011200000000000099
437.734,-0.419791,7.295566666666667,0.12159277777777777,-0.419778,-0.419666,-0.00011200000000000099
437.876,-0.419743,7.297933333333333,0.12163222222222221,-0.419777,-0.419666,-0.00011100000000002774
438.016,-0.419777,7.300266666666667,0.12167111111111112,-0.419778,-0.419666,-0.00011200000000000099
438.157,-0.419819,7.302616666666666,0.12171027777777778,-0.419783,-0.419666,-0.00011700000000003374
438.289,-0.419725,7.3048166666666665,0.12174694444444444,-0.419778,-0.419666,-0.00011200000000000099
438.427,-0.41974,7.307116666666667,0.12178527777777778,-0.419777,-0.419666,-0.00011100000000002774
438.565,-0.419807,7.3094166666666665,0.1218236111111111,-0.419783,-0.419666,-0.00011700000000003374
438.704,-0.419811,7.311733333333334,0.12186222222222222,-0.419786,-0.419666,-0.00012000000000000899
438.849,-0.419735,7.31415,0.1219025,-0.419777,-0.419666,-0.00011100000000002774
438.982,-0.419753,7.316366666666667,0.12193944444444445,-0.419777,-0.419666,-0.00011100000000002774
439.115,-0.419818,7.318583333333334,0.1219763888888889,-0.419786,-0.419666,-0.00012000000000000899
439.25,-0.419791,7.320833333333334,0.1220138888888889,-0.419786,-0.419666,-0.00012000000000000899
439.382,-0.419763,7.323033333333333,0.12205055555555555,-0.419777,-0.419666,-0.00011100000000002774
439.511,-0.419786,7.325183333333333,0.1220863888888889,-0.419784,-0.419666,-0.00011800000000000699
439.645,-0.419829,7.327416666666666,0.1221236111111111,-0.419786,-0.419666,-0.00012000000000000899
439.777,-0.419765,7.3296166666666664,0.12216027777777777,-0.419784,-0.419666,-0.00011800000000000699
439.914,-0.41975,7.3319,0.12219833333333333,-0.419784,-0.419666,-0.00011800000000000699
440.043,-0.419827,7.33405,0.12223416666666667,-0.419786,-0.419666,-0.00012000000000000899
440.175,-0.419807,7.336250000000001,0.12227083333333334,-0.419786,-0.419666,-0.00012000000000000899
440.317,-0.419725,7.338616666666667,0.12231027777777778,-0.419784,-0.419666,-0.00011800000000000699
440.454,-0.419743,7.3409,0.12234833333333334,-0.419784,-0.419666,-0.00011800000000000699
440.594,-0.41982,7.343233333333333,0.12238722222222222,-0.419786,-0.419666,-0.00012000000000000899
440.733,-0.419804,7.34555,0.12242583333333333,-0.419784,-0.419666,-0.00011800000000000699
440.877,-0.419747,7.34795,0.12246583333333333,-0.419765,-0.419666,-9.900000000001574e-05
441.005,-0.419784,7.350083333333333,0.12250138888888888,-0.419784,-0.419666,-0.00011800000000000699
441.147,-0.41981,7.35245,0.12254083333333333,-0.419784,-0.419666,-0.00011800000000000699
441.283,-0.419745,7.354716666666667,0.12257861111111111,-0.419765,-0.419666,-9.900000000001574e-05
441.423,-0.419738,7.35705,0.1226175,-0.419764,-0.419666,-9.80000000000425e-05
441.565,-0.419816,7.359416666666666,0.12265694444444444,-0.419784,-0.419666,-0.00011800000000000699
441.706,-0.4198,7.361766666666667,0.12269611111111112,-0.419772,-0.419666,-0.00010599999999999499
